date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-20,5.08,6.1,5.08,6.1,386447.0,18219428.0,42667000.0,0.00905728080249373
2021-04-21,6.71,6.71,6.71,6.71,124800.0,6473376.0,42667000.0,0.0029249771486160266
2021-04-22,7.38,7.38,7.38,7.38,64774.0,3696004.0,42667000.0,0.0015181287646190264
2021-04-23,8.12,8.12,8.12,8.12,392592.0,24643000.0,42667000.0,0.009201303114819415
2021-04-26,8.93,8.93,7.34,7.46,23937620.0,1511622241.0,42667000.0,0.561033585675112
2021-04-27,7.2,7.24,6.71,6.73,16265882.0,863761593.0,42667000.0,0.3812286310263201
2021-04-28,6.47,6.73,6.39,6.51,8970213.0,453476522.0,42667000.0,0.21023772470527574
2021-04-29,6.48,6.79,6.48,6.64,7852170.0,404392082.0,42667000.0,0.18403379661096397
2021-04-30,6.6,6.6,6.13,6.18,8838598.0,431102998.0,42667000.0,0.20715302224201373
2021-05-06,6.07,6.35,6.0,6.23,5635799.0,271033611.0,42667000.0,0.13208800712494434
2021-05-07,6.23,6.36,6.12,6.14,5349234.0,258081324.0,42667000.0,0.12537169240865306
2021-05-10,6.57,6.75,6.57,6.75,2732117.0,141296202.0,42667000.0,0.06403349192584433
2021-05-11,7.43,7.43,7.43,7.43,1003564.0,57624645.0,42667000.0,0.023520847493378957
2021-05-12,8.17,8.17,7.97,8.17,18454291.0,1164236646.0,42667000.0,0.43251906625729486
2021-05-13,8.98,8.99,8.62,8.99,10383389.0,714294736.0,42667000.0,0.24335877844704337
2021-05-14,9.01,9.3,8.29,8.8,18487082.0,1257664167.0,42667000.0,0.4332875993156303
2021-05-17,9.02,9.55,8.4,8.85,14632118.0,1005672182.0,42667000.0,0.3429375864251061
2021-05-18,9.29,9.42,8.81,8.98,10868600.0,763030365.0,42667000.0,0.25473082241544986
2021-05-19,8.92,9.88,8.51,9.59,11138672.0,788666116.0,42667000.0,0.26106058546417604
2021-05-20,9.05,9.13,8.77,8.78,8249876.0,570864158.0,42667000.0,0.19335495816438933
2021-05-21,8.78,9.21,8.78,8.99,5979678.0,417579058.0,42667000.0,0.14014760822181077
2021-05-24,8.9,9.51,8.77,8.88,6579092.0,462502312.0,42667000.0,0.1541962640916868
2021-05-25,8.88,9.06,8.3,9.05,6023175.0,407172425.0,42667000.0,0.1411670611948344
2021-05-26,9.05,9.25,8.91,8.97,4680785.0,328794140.0,42667000.0,0.10970504136686432
2021-05-27,8.94,9.87,8.94,9.43,9695075.0,722355989.0,42667000.0,0.22722654510511636
2021-05-28,9.3,10.35,9.3,10.15,7526552.0,573869244.0,42667000.0,0.1764021843579347
2021-05-31,10.07,10.7,9.97,10.25,6599828.0,524507219.0,42667000.0,0.15468226029484144
2021-06-01,10.27,10.46,10.09,10.4,3172717.0,252941546.0,42667000.0,0.07435997375020507
2021-06-02,10.41,10.41,9.67,9.75,4785111.0,369957079.0,42667000.0,0.11215016288935242
2021-06-03,9.86,9.89,9.57,9.7,2469367.0,184987028.0,42667000.0,0.05787533691143038
2021-06-04,9.54,9.62,9.09,9.43,3543506.0,257026192.0,42667000.0,0.08305027304474184
2021-06-07,9.44,10.24,9.44,9.79,3514047.0,267290949.0,42667000.0,0.0823598331263037
2021-06-08,9.81,10.2,9.47,9.96,3324343.0,255115665.0,42667000.0,0.07791368036187217
2021-06-09,9.96,9.96,9.44,9.63,2496182.0,185705589.0,42667000.0,0.05850380856399559
2021-06-10,9.7,10.59,9.7,10.59,2348214.0,190412129.0,42667000.0,0.05503583565753393
2021-06-11,11.32,11.65,11.1,11.65,6782832.0,605630839.0,42667000.0,0.15897138303607003
2021-06-15,11.68,12.54,11.5,11.72,6797694.0,623911085.0,42667000.0,0.1593197084397778
2021-06-16,11.84,12.07,11.15,11.15,3224450.0,285791492.0,42667000.0,0.07557245646518386
2021-06-17,11.33,12.27,11.25,12.27,2657689.0,242550334.0,42667000.0,0.06228909930391169
2021-06-18,12.72,13.49,12.43,13.25,4135662.0,419470610.0,42667000.0,0.09692882086858697
2021-06-21,13.26,14.57,12.79,14.57,3633859.0,390389200.0,42667000.0,0.08516790493824267
2021-06-22,15.0,15.04,14.13,14.62,3290995.0,371302728.0,42667000.0,0.07713209271802564
2021-06-23,14.66,16.04,14.37,15.52,2513709.0,294545550.0,42667000.0,0.05891459441723112
2021-06-24,15.91,16.08,14.08,15.13,3474402.0,401935289.0,42667000.0,0.0814306606979633
2021-06-25,15.13,15.77,14.23,14.98,2933908.0,344801255.0,42667000.0,0.06876293153959735
2021-06-28,15.05,16.48,14.59,16.48,3152034.0,383800299.0,42667000.0,0.0738752197248459
2021-06-29,16.67,17.78,16.61,17.1,3272817.0,427899629.0,42667000.0,0.07670604917149085
2021-06-30,17.17,17.17,16.21,16.62,2038030.0,259605702.0,42667000.0,0.04776595495347693
2021-07-01,16.67,16.74,15.63,15.95,2209899.0,275072449.0,42667000.0,0.05179410317106898
2021-07-02,15.5,16.54,15.26,15.54,2055854.0,250038884.0,42667000.0,0.04818370168983055
2021-07-05,15.6,16.28,15.24,16.13,1836764.0,222581668.0,42667000.0,0.04304881993109429
2021-07-06,16.28,16.28,14.52,14.88,3607034.0,414591424.0,42667000.0,0.0845391989125085
2021-07-07,14.72,16.36,14.26,16.3,5184742.0,607783771.0,42667000.0,0.12151644127780252
2021-07-08,16.13,16.22,15.25,15.94,3547353.0,427118845.0,42667000.0,0.0831404364028406
2021-07-09,15.46,15.56,14.72,15.2,2225417.0,258843459.0,42667000.0,0.05215780345466051
2021-07-12,15.37,16.45,15.37,15.88,3212130.0,396302771.0,42667000.0,0.07528370872102562
2021-07-13,16.42,17.29,15.37,16.83,2764954.0,351247118.0,42667000.0,0.06480310310075703
2021-07-14,17.19,17.78,16.55,17.29,2633266.0,350574879.0,42667000.0,0.06171668971336161
2021-07-15,17.06,18.75,16.77,18.13,2731446.0,371740888.0,42667000.0,0.06401776548620713
2021-07-16,18.61,18.76,17.58,17.58,1878909.0,262186920.0,42667000.0,0.0440365856516746
2021-07-19,18.04,18.17,16.19,16.37,2409125.0,311929487.0,42667000.0,0.05646342606698385
2021-07-20,16.03,16.48,15.53,16.17,2143688.0,263510567.0,42667000.0,0.05024229498207045
2021-07-21,16.48,17.79,16.48,17.79,2427141.0,323766185.0,42667000.0,0.056885672768181496
2021-07-22,18.11,19.57,18.11,19.57,3906637.0,575401546.0,42667000.0,0.09156108936648932
2021-07-23,19.72,21.45,19.57,20.85,3551590.0,560268014.0,42667000.0,0.0832397403145288
2021-07-26,21.52,22.94,21.52,22.42,3672294.0,631242806.0,42667000.0,0.08606871821313895
2021-07-27,22.84,23.96,21.41,21.98,5049421.0,874748247.0,42667000.0,0.11834488011812408
2021-07-28,20.45,22.57,19.8,21.82,3129154.0,519504591.0,42667000.0,0.07333897391426629
2021-07-29,22.91,24.0,22.41,24.0,2066927.0,371013327.0,42667000.0,0.048443223099819535
2021-07-30,25.66,26.4,25.66,26.4,3624135.0,731597869.0,42667000.0,0.08494000046874634
2021-08-02,26.69,28.62,24.96,25.64,4561934.0,923128969.0,42667000.0,0.10691949281646237
2021-08-03,25.53,25.53,23.08,23.08,2750595.0,502933107.0,42667000.0,0.0644665666674479
2021-08-04,22.49,23.85,22.16,23.69,4571951.0,809257873.0,42667000.0,0.10715426441980921
2021-08-05,23.69,23.69,22.4,22.66,2548442.0,448607840.0,42667000.0,0.059728642744978556
2021-08-06,22.79,24.75,22.09,24.14,3748088.0,677355735.0,42667000.0,0.08784512620995148
2021-08-09,24.09,26.44,23.18,26.44,3374021.0,651084393.0,42667000.0,0.07907799939062976
2021-08-10,25.4,27.19,23.79,24.46,4881155.0,955987278.0,42667000.0,0.11440117655330817
2021-08-11,23.83,24.93,23.16,24.22,2944042.0,542139363.0,42667000.0,0.06900044530902102
2021-08-12,24.08,24.09,22.78,23.51,3273066.0,582345670.0,42667000.0,0.07671188506339795
2021-08-13,22.6,23.51,21.88,22.66,3117287.0,543983137.0,42667000.0,0.07306084327466192
2021-08-16,23.15,23.18,21.31,22.28,2928259.0,501680676.0,42667000.0,0.06863053413645206
2021-08-17,22.05,23.21,21.71,22.48,2065139.0,356189833.0,42667000.0,0.04840131717720955
2021-08-18,22.14,22.79,21.62,22.2,2157356.0,369947100.0,42667000.0,0.050562636229404455
2021-08-19,21.97,23.05,21.62,22.71,1645028.0,280435807.0,42667000.0,0.03855504253873017
2021-08-20,22.71,24.98,22.28,24.9,4418357.0,826365536.0,42667000.0,0.10355443316849088
2021-08-23,24.35,25.37,23.7,24.82,2649098.0,498743906.0,42667000.0,0.06208774931445848
2021-08-24,24.48,27.31,24.48,27.31,2427977.0,496307703.0,42667000.0,0.056905266365106524
2021-08-25,27.61,28.94,26.5,28.46,2492165.0,526406401.0,42667000.0,0.058409660862024516
2021-08-26,27.85,31.26,27.69,28.86,2230384.0,506015487.0,42667000.0,0.05227421660768275
2021-08-27,27.94,30.61,26.05,30.22,3220152.0,709520081.0,42667000.0,0.07547172287716503
2021-08-30,29.69,31.26,28.18,30.11,2603341.0,596762173.0,42667000.0,0.06101532800524996
2021-08-31,29.56,29.56,27.74,28.58,1654506.0,362495214.0,42667000.0,0.038777181428270094
2021-09-01,28.9,28.91,25.72,25.72,1880867.0,385037015.0,42667000.0,0.04408247591815689
2021-09-02,25.4,25.66,24.36,24.94,2270328.0,436760103.0,42667000.0,0.053210396793775046
2021-09-03,24.99,26.57,24.16,24.16,2476141.0,482483273.0,42667000.0,0.05803410129608363
2021-09-06,23.9,24.2,22.4,24.08,2184847.0,390158384.0,42667000.0,0.051206951508191344
2021-09-07,24.02,25.25,23.59,24.47,2267162.0,424043902.0,42667000.0,0.053136194248482434
2021-09-08,24.5,25.59,22.85,23.22,2525368.0,465093883.0,42667000.0,0.059187850094921134
2021-09-09,22.79,23.42,22.4,23.04,1542239.0,270791960.0,42667000.0,0.03614594417231115
2021-09-10,23.05,25.35,23.05,25.35,2721325.0,520229545.0,42667000.0,0.06378055640190311
2021-09-13,26.35,26.84,24.4,24.88,2571618.0,501335075.0,42667000.0,0.060271826001359365
2021-09-14,24.88,27.36,24.08,27.36,1971794.0,399099716.0,42667000.0,0.046213560831556005
2021-09-15,27.66,28.0,26.45,27.3,1594114.0,334018112.0,42667000.0,0.03736175498628917
2021-09-16,26.8,27.56,24.57,24.57,2318385.0,449104960.0,42667000.0,0.054336723931844286
2021-09-17,23.72,24.42,22.27,24.36,3406587.0,608949012.0,42667000.0,0.07984125905266365
2021-09-22,24.61,26.44,23.68,25.33,2505074.0,484742528.0,42667000.0,0.058712213185834486
2021-09-23,25.49,26.44,24.49,26.13,1675796.0,330554606.0,42667000.0,0.03927616190498512
2021-09-24,26.22,28.74,25.94,28.74,1867449.0,400063360.0,42667000.0,0.04376799400004688
2021-09-27,29.29,30.35,26.9,29.56,3469734.0,766324108.0,42667000.0,0.08132125530269295
2021-09-28,29.56,29.56,27.54,28.15,1992694.0,435327005.0,42667000.0,0.0467034007546816
2021-09-29,27.24,29.95,27.24,29.3,2017177.0,449808534.0,42667000.0,0.047277216584245434
2021-09-30,29.04,30.25,28.78,29.28,1523503.0,344424853.0,42667000.0,0.03570682260294841
2021-10-08,28.92,29.43,26.57,27.09,1805986.0,386547468.0,42667000.0,0.042327466191670375
2021-10-11,27.35,27.35,25.9,26.62,1272386.0,261067745.0,42667000.0,0.029821313895985187
2021-10-12,26.83,28.65,26.31,28.48,1842882.0,391855960.0,42667000.0,0.043192209435863785
2021-10-13,28.0,31.33,27.78,31.33,2161411.0,503760940.0,42667000.0,0.05065767454941758
2021-10-14,31.78,34.46,31.35,33.6,2845036.0,722109909.0,42667000.0,0.06668001031241944
2021-10-15,33.27,35.03,32.3,34.59,1675787.0,439020914.0,42667000.0,0.039275950969133056
2021-10-18,34.51,35.82,33.83,35.3,1848082.0,494370873.0,42667000.0,0.04331408348372278
2021-10-19,35.3,35.8,32.57,33.46,2280787.0,588886383.0,42667000.0,0.053455527691189914
2021-10-20,33.25,36.35,32.9,35.16,2261278.0,602506281.0,42667000.0,0.052998289075866595
2021-10-21,35.03,35.16,31.65,32.47,2853079.0,719377650.0,42667000.0,0.06686851665221366
2021-10-22,31.91,32.75,29.69,32.43,2262274.0,545208833.0,42667000.0,0.05302163264349497
2021-10-25,32.53,35.67,32.53,35.67,2606969.0,697979052.0,42667000.0,0.061100358590948506
2021-10-26,36.01,36.6,34.51,34.79,1880716.0,512425547.0,42667000.0,0.0440789368833056
2021-10-27,35.08,37.96,34.24,37.79,2064526.0,581459763.0,42667000.0,0.04838695010195233
2021-10-28,37.01,39.85,36.84,38.89,2225208.0,654963769.0,42667000.0,0.05215290505542926
2021-10-29,39.1,42.78,38.42,42.78,3865715.0,1234556241.0,42667000.0,0.09060198748447278
2021-11-01,43.37,45.06,42.07,42.85,3067666.0,1023592799.0,42667000.0,0.0718978601729674
2021-11-02,41.73,42.98,40.89,42.18,1874351.0,604158527.0,42667000.0,0.043929758361262804
2021-11-03,40.51,41.38,38.55,39.93,2392199.0,730600826.0,42667000.0,0.0560667260412028
2021-11-04,40.17,42.23,38.75,38.93,2701564.0,832407634.0,42667000.0,0.06331741158272201
2021-11-05,37.77,40.31,35.92,39.07,3803247.0,1113783423.0,42667000.0,0.08913790517261584
2021-11-08,39.07,40.09,37.9,39.33,1833251.0,548967244.0,42667000.0,0.042966484636838775
2021-11-09,39.2,41.55,38.22,40.5,2464584.0,752835848.0,42667000.0,0.057763236224717
2021-11-10,39.46,39.94,37.9,38.94,1390645.0,415633167.0,42667000.0,0.03259298755478473
2021-11-11,38.55,40.11,38.18,38.18,1482036.0,444722244.0,42667000.0,0.034734947383223566
2021-11-12,38.42,41.16,38.2,40.76,2167796.0,660934266.0,42667000.0,0.0508073218177983
2021-11-15,40.42,41.58,38.41,38.67,2273445.0,699992626.0,42667000.0,0.053283450910539765
2021-11-16,37.77,37.96,35.86,36.07,2268130.0,639797200.0,42667000.0,0.05315888157123772
2021-11-17,35.8,37.8,35.7,37.77,2047268.0,578648835.0,42667000.0,0.047982468886961824
2021-11-18,37.51,37.51,35.17,36.08,2755600.0,762406275.0,42667000.0,0.0645838704385122
2021-11-19,35.36,36.97,35.36,36.21,1600069.0,445172313.0,42667000.0,0.03750132420840462
2021-11-22,37.48,39.83,37.48,39.83,2531186.0,763683719.0,42667000.0,0.05932420840462184
2021-11-23,39.83,42.17,39.11,41.28,3167233.0,998760716.0,42667000.0,0.07423144350434763
2021-11-24,41.45,41.48,37.16,37.16,3777562.0,1110298930.0,42667000.0,0.08853591768814306
2021-11-25,35.84,36.45,34.4,34.75,4263658.0,1151815329.0,42667000.0,0.09992870368200249
2021-11-26,34.75,35.55,34.21,35.45,2391200.0,644769969.0,42667000.0,0.05604331216162374
2021-11-29,35.82,38.94,35.82,37.77,3978251.0,1151138867.0,42667000.0,0.09323952937867673
2021-11-30,37.06,38.29,36.06,36.76,2466700.0,701352400.0,42667000.0,0.05781282958726885
2021-12-01,36.99,37.75,35.82,36.28,1710626.0,479838810.0,42667000.0,0.040092483652471464
2021-12-02,35.82,36.81,35.29,35.4,1342898.0,368546383.0,42667000.0,0.031473925984953244
2021-12-03,35.4,36.58,34.62,36.34,1921427.0,529445800.0,42667000.0,0.0450330934914571
2021-12-06,36.21,37.38,36.08,36.36,1370819.0,384949639.0,42667000.0,0.03212831931000539
2021-12-07,36.4,36.73,34.73,35.78,1299858.0,354301461.0,42667000.0,0.030465183865751047
2021-12-08,36.4,38.03,36.4,37.5,2418024.0,694522203.0,42667000.0,0.05667199475004102
2021-12-09,36.86,37.59,36.06,36.54,1433773.0,403820942.0,42667000.0,0.03360379215787377
2021-12-10,36.14,38.15,34.77,37.88,2414337.0,687315143.0,42667000.0,0.056585581362645604
2021-12-13,37.51,38.4,37.23,37.77,1367601.0,396594841.0,42667000.0,0.03205289802423419
2021-12-14,37.62,38.66,35.76,36.27,2362827.0,666973243.0,42667000.0,0.055378325169334615
2021-12-15,36.23,36.27,34.14,34.28,3017998.0,813957353.0,42667000.0,0.07073377551737876
2021-12-16,34.57,34.62,31.52,33.22,4687760.0,1171965073.0,42667000.0,0.10986851665221366
2021-12-17,32.95,33.34,32.1,32.3,1976031.0,494445842.0,42667000.0,0.04631286474324419
2021-12-20,32.04,33.28,31.79,32.25,1718658.0,426617257.0,42667000.0,0.04028073218177983
2021-12-21,32.01,32.56,30.87,32.48,1939140.0,475321576.0,42667000.0,0.045448238685635266
2021-12-22,32.69,33.21,32.04,32.17,910749.0,226897615.0,42667000.0,0.02134551292568027
2021-12-23,32.05,33.08,31.65,32.65,1521650.0,379981657.0,42667000.0,0.035663393254740196
2021-12-24,32.25,32.79,30.19,30.7,2477240.0,591717748.0,42667000.0,0.05805985890735229
2021-12-27,30.35,31.21,29.84,30.74,2063028.0,484490652.0,42667000.0,0.04835184100124218
2021-12-28,30.93,33.58,30.63,33.23,2424504.0,600946431.0,42667000.0,0.05682386856352685
2021-12-29,33.65,34.35,32.99,33.51,1656975.0,427916178.0,42667000.0,0.03883504816368622
