date,limit_up,limit_down,up_count,down_count,flat_count,bomb_count,bomb_ratio,limit_up_strong,advance_decline,limit_ratio,gap_up_pct,total_amount,total_volume,valid_stocks,max_streak,avg_limit_vol,breadth,sentiment_score,sentiment_ma5,sentiment_ma20,market_temp,phase
2022-01-04,51,6,1063,315,14,28,0.35443037974683544,12,3.3746031746031746,8.5,0.5581896551724138,438871661976.5,35286983681.0,1392,1,64443378.09803922,0.5373563218390804,,,,,狂热
2022-01-05,25,21,364,990,38,29,0.5370370370370371,9,0.36767676767676766,1.1904761904761905,0.3728448275862069,448201072596.5,36438135806.0,1392,2,104803655.76,-0.44971264367816094,,,,,狂热
2022-01-06,39,2,905,441,47,25,0.390625,5,2.052154195011338,19.5,0.18664752333094042,386589386708.0,32231330471.0,1393,3,54047925.51282051,0.3330940416367552,,,,,狂热
2022-01-07,15,16,315,1057,21,32,0.6808510638297872,3,0.2980132450331126,0.9375,0.39770279971284994,422376175087.0,36550361562.0,1393,4,68095634.4,-0.5326633165829145,,,,,狂热
2022-01-10,35,6,931,416,46,13,0.2708333333333333,3,2.237980769230769,5.833333333333333,0.3280689160086145,362012045979.0,30012252083.0,1393,1,58451935.571428575,0.3697056712132089,,,,,狂热
2022-01-11,26,3,567,780,46,16,0.38095238095238093,4,0.7269230769230769,8.666666666666666,0.4077530509691314,364106241093.0,30445478631.0,1393,2,55460704.0,-0.15290739411342427,,,,,狂热
2022-01-12,41,0,1002,356,36,24,0.36923076923076925,9,2.8146067415730336,41.0,0.503586800573888,365684159457.75,30254804092.0,1394,3,53872175.92682927,0.4634146341463415,,,,,狂热
2022-01-13,28,4,375,973,47,18,0.391304347826087,10,0.3854059609455293,7.0,0.4064516129032258,372031063775.5,31802036427.0,1395,4,56089862.60714286,-0.42867383512544804,,,,,狂热
2022-01-14,31,4,419,959,15,21,0.40384615384615385,7,0.4369134515119917,7.75,0.21249102656137833,355939057509.0,31362860073.0,1393,5,36218164.61290322,-0.38765254845656855,,,,,狂热
2022-01-17,53,1,961,381,50,15,0.22058823529411764,14,2.522309711286089,53.0,0.40445402298850575,356257895732.5,29652674348.0,1392,1,50522505.7735849,0.4166666666666667,,,,,狂热
2022-01-18,12,19,416,946,31,24,0.6666666666666666,4,0.4397463002114165,0.631578947368421,0.41852117731514715,386706756293.0,32348153451.0,1393,2,63599789.416666664,-0.38047379755922467,,,,,狂热
2022-01-19,24,6,729,619,45,10,0.29411764705882354,7,1.1777059773828755,4.0,0.2699210337401292,358501060550.0,29201782390.0,1393,3,64148177.291666664,0.07896625987078248,,,,,狂热
2022-01-20,24,5,246,1136,11,11,0.3142857142857143,7,0.21654929577464788,4.8,0.3962670495333812,369489926765.5,31447233226.0,1393,4,100086251.33333333,-0.6389088298636038,,,,,狂热
2022-01-21,23,19,434,912,47,18,0.43902439024390244,6,0.4758771929824561,1.2105263157894737,0.2756640344580043,324895801088.5,27604547771.0,1393,5,65796401.13043478,-0.3431442928930366,,,,,狂热
2022-01-24,34,14,525,826,41,13,0.2765957446808511,4,0.635593220338983,2.4285714285714284,0.22413793103448276,294758944568.75,23468910768.0,1392,1,49304248.323529415,-0.21623563218390804,,,,,狂热
2022-01-25,15,30,73,1318,0,9,0.375,4,0.05538694992412747,0.5,0.28109273903666426,326641387277.5,28409264363.0,1391,2,83011639.8,-0.895039539899353,,,,,狂热
2022-01-26,25,17,967,384,39,11,0.3055555555555556,8,2.5182291666666665,1.4705882352941178,0.5496402877697841,270565696943.5,22826800132.0,1390,3,41481505.6,0.41942446043165466,,,,,狂热
2022-01-27,6,37,64,1318,9,10,0.625,2,0.048558421851289835,0.16216216216216217,0.404744787922358,275538730127.0,23417218445.0,1391,2,79186789.83333333,-0.901509705248023,,,,,狂热
2022-01-28,26,19,993,380,20,14,0.35,3,2.613157894736842,1.368421052631579,0.7609475951184493,274846624834.75,23212987077.0,1393,3,42498975.807692304,0.44005743000717873,,,,,狂热
2022-02-07,42,13,1066,306,22,31,0.4246575342465753,5,3.4836601307189543,3.230769230769231,0.8522238163558106,283481073728.5,24306794163.0,1394,1,26645250.54761905,0.5451936872309899,11.356867828818835,,,44.77640566068693,狂热
2022-02-08,38,3,1157,225,12,17,0.3090909090909091,10,5.142222222222222,12.666666666666666,0.4218077474892396,294656446034.0,25975397186.0,1394,2,59036616.0,0.6685796269727403,16.708972532058553,,,47.9874707518864,狂热
2022-02-09,60,0,1082,259,53,20,0.25,12,4.177606177606178,60.0,0.40100430416068866,321567299802.25,27616725999.0,1394,3,60667472.916666664,0.5903873744619799,17.946730182473893,,,48.7300796138184,狂热
2022-02-10,31,2,583,754,57,12,0.27906976744186046,11,0.773209549071618,15.5,0.3866571018651363,313788564023.5,26953163345.0,1394,4,78998266.67741935,-0.12266857962697274,-4.721612607691483,,,35.12991140993734,极度冰点
2022-02-11,28,5,195,1177,22,15,0.3488372093023256,9,0.16567544604927784,5.6,0.20516499282639886,343412720578.0,29436693056.0,1394,5,89683369.21428572,-0.7044476327116213,-19.324353573681886,4.3933208723955826,,26.36880632106705,极度冰点
2022-02-14,45,7,659,690,47,20,0.3076923076923077,13,0.9550724637681159,6.428571428571429,0.2148997134670487,304917156204.25,26540359479.0,1396,1,50927863.155555554,-0.022206303724928367,-1.6791865538447364,1.786109995862868,,36.95525464138598,偏冷
2022-02-15,26,11,657,676,63,29,0.5272727272727272,6,0.9718934911242604,2.3636363636363638,0.5,291204375971.25,24987844088.0,1396,2,25032320.346153848,-0.013610315186246419,-3.0354520478468356,-2.16277492011821,,36.141545451513004,极度冰点
2022-02-16,32,0,1035,320,40,18,0.36,6,3.234375,32.0,0.7096774193548387,286235562993.5,24917299135.0,1395,3,49143417.09375,0.5125448028673835,13.105716952816099,-3.1309775660497685,,45.825650524757535,狂热
2022-02-17,21,11,416,938,42,34,0.6181818181818182,5,0.44349680170575695,1.9090909090909092,0.28581661891117477,330194408054.75,27983769816.0,1396,4,61001901.0,-0.37392550143266473,-9.798436073836164,-4.146342259278705,,32.08400489087175,极度冰点
2022-02-18,20,1,985,371,41,15,0.42857142857142855,4,2.6549865229110514,20.0,0.1395848246241947,284274762776.5,25817075367.0,1397,5,57463126.0,0.43951324266284897,10.83790945013647,1.8861103454849666,,44.465049806126814,狂热
2022-02-21,46,0,1055,305,36,26,0.3611111111111111,12,3.459016393442623,46.0,0.3753581661891118,314565487804.5,27975500779.0,1396,1,52265300.82608695,0.5372492836676218,17.63264388332979,5.7484764329198725,,48.54163943808806,狂热
2022-02-22,21,2,270,1107,17,18,0.46153846153846156,8,0.24390243902439024,10.5,0.1642754662840746,342726622190.25,28795981053.0,1394,2,62668905.047619045,-0.6004304160688666,-14.334094771142151,3.4887478882608094,,29.362777240056463,极度冰点
2022-02-23,35,2,994,353,47,16,0.3137254901960784,8,2.8158640226628897,17.5,0.5215208034433285,357353398691.5,28626667825.0,1394,3,39250949.71428572,0.4598278335724534,19.295830266080067,4.726770550913603,,49.53948982217621,狂热
2022-02-24,19,20,174,1206,15,28,0.5957446808510638,5,0.14427860696517414,0.95,0.1906810035842294,456492724970.0,39234472602.0,1395,4,69776179.4736842,-0.7397849462365591,-8.692262329305082,4.948005299819821,,32.74766827057265,极度冰点
2022-02-25,27,2,1016,329,51,17,0.38636363636363635,6,3.088145896656535,13.5,0.7743553008595988,326346920167.75,27258983141.0,1396,5,22941500.777777776,0.49212034383954156,16.592361572271567,6.098895724246839,,47.9175084841459,狂热
2022-02-28,22,7,594,757,45,10,0.3125,5,0.7846763540290621,3.142857142857143,0.46346704871060174,312322380691.75,25222144371.0,1396,1,51979067.95454545,-0.1167621776504298,-3.380545098889168,1.8962579278030467,,35.93450237017217,极度冰点
2022-03-01,20,2,954,395,50,4,0.16666666666666666,3,2.4151898734177215,10.0,0.5282344531808435,326748169788.0,25202864917.0,1399,2,56698226.2,0.3995711222301644,13.565243460529205,7.476125574137318,,46.101349452415874,狂热
2022-03-02,24,0,798,550,50,16,0.4,6,1.450909090909091,24.0,0.1938483547925608,296419728151.5,25183264948.0,1398,3,51317187.041666664,0.17739628040057226,4.073791581779689,4.431717837277242,,40.40682898195433,狂热
2022-03-03,27,1,599,756,44,15,0.35714285714285715,5,0.7923280423280423,27.0,0.6568977841315226,333734063354.25,29387751434.0,1399,4,60066802.7037037,-0.11222301644031452,-1.3126838776957102,5.907633527599117,,37.17514270682329,偏冷
2022-03-04,21,6,276,1103,20,10,0.3225806451612903,7,0.25022665457842247,3.5,0.1937097927090779,330702772556.0,28260734965.0,1399,5,41305979.76190476,-0.5911365260900643,-16.54762774765223,-0.7203643363856429,2.914490651435436,28.034739231983142,极度冰点
