date,equity
2022-01-04,1000000.0
2022-01-14,1000000.0
2022-01-19,1000000.0
2022-01-24,1000000.0
2022-02-08,1000000.0
2022-02-18,1000000.0
2022-02-23,969001.0
2022-02-28,969001.0
2022-03-10,922361.0
2022-03-15,922361.0
2022-03-25,922361.0
2022-03-30,922361.0
2022-04-14,955627.0
2022-04-19,955627.0
2022-04-29,955627.0
2022-05-09,955627.0
2022-05-19,899796.0
2022-05-24,877142.0
2022-06-08,879609.0
2022-06-13,879609.0
2022-06-23,879609.0
2022-06-28,879609.0
2022-07-08,863132.0
2022-07-13,863132.0
2022-07-18,863132.0
2022-07-28,863132.0
2022-08-02,877374.0
2022-08-12,877374.0
2022-08-17,877374.0
2022-08-22,890664.0
2022-09-01,890664.0
2022-09-06,890664.0
2022-09-16,890664.0
2022-09-21,890664.0
2022-09-26,890664.0
2022-10-11,890664.0
2022-10-21,890664.0
2022-10-26,890664.0
2022-10-31,890664.0
2022-11-10,890664.0
2022-11-15,890664.0
2022-11-25,890664.0
2022-11-30,890664.0
2022-12-05,890664.0
2022-12-15,879457.0
2022-12-20,879457.0
2022-12-30,879457.0
2023-01-04,879457.0
2023-01-09,879457.0
2023-01-19,879457.0
2023-02-03,870059.0
2023-02-08,865459.0
2023-02-13,865459.0
2023-02-23,865459.0
2023-02-28,865459.0
2023-03-10,865459.0
2023-03-15,865459.0
2023-03-20,865459.0
2023-03-30,865459.0
2023-04-04,865459.0
2023-04-14,865459.0
2023-04-19,865459.0
2023-04-24,865459.0
2023-05-04,865459.0
2023-05-09,865459.0
2023-05-19,865459.0
2023-05-24,865459.0
2023-05-29,865459.0
2023-06-08,885205.0
2023-06-13,885205.0
2023-06-28,850198.0
2023-07-03,838252.0
2023-07-13,817749.0
2023-07-18,817749.0
2023-07-28,817749.0
2023-08-02,817749.0
2023-08-07,817749.0
2023-08-17,800463.0
2023-08-22,799958.0
2023-09-01,799958.0
2023-09-06,799958.0
2023-09-11,799958.0
2023-09-21,799958.0
2023-09-26,799958.0
2023-10-11,799958.0
2023-10-16,799958.0
2023-10-26,799958.0
2023-10-31,799958.0
2023-11-10,799958.0
2023-11-15,799958.0
2023-11-20,799958.0
2023-11-30,799958.0
2023-12-05,799958.0
2023-12-15,799958.0
2023-12-20,799958.0
2023-12-25,799958.0
2024-01-04,799958.0
2024-01-09,799958.0
2024-01-19,799958.0
2024-01-24,799958.0
2024-01-29,799958.0
2024-02-08,799958.0
2024-02-23,799958.0
2024-02-28,799958.0
2024-03-04,799958.0
2024-03-14,799958.0
2024-03-19,799958.0
2024-03-29,799958.0
2024-04-03,799958.0
2024-04-08,799958.0
2024-04-18,799958.0
2024-04-23,799958.0
2024-05-08,799958.0
2024-05-13,799958.0
2024-05-23,799958.0
2024-05-28,799958.0
2024-06-07,799958.0
2024-06-12,799958.0
2024-06-17,799958.0
2024-06-27,799958.0
2024-07-02,799958.0
2024-07-12,799958.0
2024-07-17,799958.0
2024-07-22,799958.0
2024-08-01,799958.0
2024-08-06,799958.0
2024-08-16,799958.0
2024-08-21,799958.0
2024-08-26,799958.0
2024-09-05,799958.0
2024-09-10,799958.0
2024-09-20,799958.0
2024-09-25,799958.0
2024-09-30,799958.0
2024-10-10,757519.0
2024-10-15,757519.0
2024-10-25,746876.0
2024-10-30,746876.0
2024-11-04,746876.0
2024-11-14,736967.0
2024-11-19,736967.0
2024-11-29,736967.0
2024-12-04,736967.0
2024-12-09,736967.0
2024-12-19,736967.0
2024-12-24,736967.0
2025-01-03,736967.0
2025-01-08,736967.0
2025-01-13,736967.0
2025-01-23,736967.0
2025-02-07,736967.0
2025-02-12,736967.0
2025-02-17,736967.0
2025-02-27,736967.0
2025-03-04,736967.0
2025-03-14,736967.0
2025-03-19,736967.0
2025-03-24,736967.0
2025-04-03,736967.0
2025-04-08,736967.0
2025-04-18,736967.0
2025-04-23,736967.0
2025-04-28,736967.0
2025-05-08,729528.0
2025-05-13,729528.0
2025-05-23,729528.0
2025-05-28,729528.0
2025-06-12,729528.0
2025-06-17,729528.0
2025-06-27,693795.0
2025-07-02,693795.0
2025-07-07,693795.0
2025-07-17,683889.0
2025-07-22,683889.0
2025-08-01,683889.0
2025-08-06,688718.0
2025-08-11,688718.0
2025-08-21,660032.0
2025-08-26,660032.0
2025-09-05,660032.0
2025-09-10,658592.0
2025-09-15,655092.0
2025-09-25,655092.0
2025-09-30,655092.0
2025-10-10,655092.0
2025-10-15,655092.0
2025-10-20,655092.0
2025-10-30,637069.0
2025-11-04,637069.0
2025-11-14,623634.0
2025-11-19,623634.0
2025-11-24,623634.0
2025-12-04,623634.0
2025-12-09,623634.0
2025-12-19,623634.0
2025-12-24,623634.0
2025-12-29,623634.0
2025-12-31,623634.0
