factor,label,category,period,n_stocks,n_obs,ic_mean,ic_std,icir,abs_icir,ic_pos_pct,direction
bias_20,20日乖离率,technical,ic_5d,1500,8139384,-0.04529330994279994,0.06916145510756004,-0.6548923800454992,0.6548923800454992,0.202,-1
bias_20,20日乖离率,technical,ic_20d,1500,8139384,-0.05851716521813459,0.10185929488870246,-0.574490185525768,0.574490185525768,0.246,-1
up_days_ratio_20,20日上涨比例,technical,ic_1d,1500,8139384,-0.009908871378883063,0.03424917468271299,-0.28931708488393126,0.28931708488393126,0.3313333333333333,1
up_days_ratio_20,20日上涨比例,technical,ic_5d,1500,8139384,-0.017424619099260834,0.06332100397776744,-0.2751791349577902,0.2751791349577902,0.33,1
up_days_ratio_20,20日上涨比例,technical,ic_20d,1500,8139384,-0.046246530320154536,0.105440235710743,-0.4386042008386995,0.4386042008386995,0.282,1
price_position_20,20日价格位置,technical,ic_1d,1500,8139374,-0.015629913829790766,0.04086373579900939,-0.38248861794397326,0.38248861794397326,0.272,1
price_position_20,20日价格位置,technical,ic_5d,1500,8139374,-0.019419587197298104,0.06387654674849548,-0.3040174866333942,0.3040174866333942,0.32266666666666666,1
price_position_20,20日价格位置,technical,ic_20d,1500,8139374,-0.03219564733902316,0.0967827548215288,-0.3326589266692521,0.3326589266692521,0.33466666666666667,1
amplitude_5d,5日均振幅,volume_price,ic_1d,1500,8206884,-0.006406364637688441,0.035922721018230755,-0.17833739917522437,0.17833739917522437,0.4053333333333333,-1
amplitude_5d,5日均振幅,volume_price,ic_5d,1500,8206884,-0.0034919261938268775,0.06544618477304007,-0.05335568766821902,0.05335568766821902,0.4693333333333333,-1
amplitude_5d,5日均振幅,volume_price,ic_20d,1500,8206884,-0.01618948187843227,0.0994657292446488,-0.16276442148845205,0.16276442148845205,0.42333333333333334,-1
volume_price_corr_20,20日量价相关,volume_price,ic_1d,1500,8134874,-0.01639078287175305,0.032835249997133296,-0.4991825210158004,0.4991825210158004,0.256,1
volume_price_corr_20,20日量价相关,volume_price,ic_5d,1500,8134874,-0.031158925673311424,0.06602249502655608,-0.4719440799802922,0.4719440799802922,0.2633333333333333,1
volume_price_corr_20,20日量价相关,volume_price,ic_20d,1500,8134874,-0.044517620935119115,0.10832001690523296,-0.4109824038715457,0.4109824038715457,0.282,1
tdx_qlj,擒龙决(打板信号),pattern,ic_1d,1500,8203030,-0.0017591135405517233,0.0352375582117545,-0.04992155046557455,0.04992155046557455,0.47386286490156143,1
tdx_qlj,擒龙决(打板信号),pattern,ic_5d,1500,8203030,-0.012510402282611285,0.03441894575860149,-0.3634743019252664,0.3634743019252664,0.34894772572980315,1
tdx_qlj,擒龙决(打板信号),pattern,ic_20d,1500,8203030,-0.012108795600903027,0.03328823430279843,-0.3637560193417973,0.3637560193417973,0.34285714285714286,1
tdx_ztxf,涨停先锋(分歧低吸),pattern,ic_1d,1500,8223024,0.002005508405286818,0.03599273054583799,0.05571981827643594,0.05571981827643594,0.5283901135604543,1
tdx_ztxf,涨停先锋(分歧低吸),pattern,ic_5d,1500,8223024,-0.007707562839880386,0.03462359776545311,-0.22261010805673329,0.22261010805673329,0.4034736138944556,1
tdx_ztxf,涨停先锋(分歧低吸),pattern,ic_20d,1500,8223024,-0.007427437225897194,0.0349025282015417,-0.2128051350036331,0.2128051350036331,0.410427807486631,1
tdx_qbd,起爆点,pattern,ic_1d,1500,7711158,0.016260202377030967,0.0344188192408805,0.4724218533829925,0.4724218533829925,0.6926010678871091,1
tdx_qbd,起爆点,pattern,ic_5d,1500,7711158,-0.011401655226920816,0.03249281981829211,-0.3508976841862816,0.3508976841862816,0.3702290076335878,1
tdx_qbd,起爆点,pattern,ic_20d,1500,7711158,-0.017058382563683513,0.03156657889311876,-0.5403937696714449,0.5403937696714449,0.28024502297090353,1
tdx_qz,强庄信号,pattern,ic_1d,1500,8154795,-0.007778128083349213,0.027609938647796626,-0.28171479055314513,0.28171479055314513,0.36904761904761907,1
tdx_qz,强庄信号,pattern,ic_5d,1500,8154795,-0.006407210061730206,0.035085679792584326,-0.18261610148663637,0.18261610148663637,0.4222689075630252,1
tdx_qz,强庄信号,pattern,ic_20d,1500,8154795,0.0018084045266973403,0.03769705724655536,0.04797203439169212,0.04797203439169212,0.5334271639690359,1
tdx_hmqd,黑马启动,technical,ic_1d,1500,8224884,0.0013879836197810858,0.03496098678611937,0.03970092801648721,0.03970092801648721,0.554,1
tdx_hmqd,黑马启动,technical,ic_5d,1500,8224884,-0.0013207801080944823,0.03008603989984058,-0.04390009826788407,0.04390009826788407,0.508,1
tdx_hmqd,黑马启动,technical,ic_20d,1500,8224884,0.002068412926910986,0.03032124319866157,0.06821662665211198,0.06821662665211198,0.5626666666666666,1
tdx_trend_bottom,趋势线底部,reversal,ic_1d,1500,8214888,0.00856675761330857,0.032977674717070395,0.2597744591395984,0.2597744591395984,0.6579476861167002,1
tdx_trend_bottom,趋势线底部,reversal,ic_5d,1500,8214888,0.024463912781137298,0.058734809840550684,0.4165147184020904,0.4165147184020904,0.7136150234741784,1
tdx_trend_bottom,趋势线底部,reversal,ic_20d,1500,8214888,0.05555779909014801,0.0915878736960965,0.6066064954679246,0.6066064954679246,0.77088948787062,1
tdx_money_flow,主力资金流,volume_price,ic_1d,1500,7959359,-0.01731311068777215,0.03847221589068159,-0.4500159475338561,0.4500159475338561,0.25,1
tdx_money_flow,主力资金流,volume_price,ic_5d,1500,7959359,-0.0203846026491871,0.07304529228004399,-0.27906798662719823,0.27906798662719823,0.3446666666666667,1
tdx_money_flow,主力资金流,volume_price,ic_20d,1500,7959359,-0.009887547593241633,0.09919456672664806,-0.09967831827411369,0.09967831827411369,0.4391711229946524,1
tdx_high_control,高度控局,technical,ic_1d,1500,8181573,-0.02786442712079832,0.039108235514806036,-0.7124951242110908,0.7124951242110908,0.19124579124579125,1
tdx_high_control,高度控局,technical,ic_5d,1500,8181573,-0.04247892932120437,0.06159268532318277,-0.6896749037375676,0.6896749037375676,0.22356902356902356,1
tdx_high_control,高度控局,technical,ic_20d,1500,8181573,-0.038882953852661904,0.08463555512724975,-0.45941630316243914,0.45941630316243914,0.305668016194332,1
