pnl,days,reason,code,ed
0.024270820136689405,4,+7%回2%清,600309,20250725
-0.07427726070861972,1,-5%止损,600315,20241010
-0.056568595041322334,3,-5%止损,600315,20241218
-0.002424543154343524,1,回落3%,600316,20250225
0.03600578709515443,1,+5%回1%半,600316,20250722
0.029226977152899857,2,+7%回2%清,600316,20250723
0.036185982939123736,8,+5%回1%半,600323,20250728
0.02862491275688254,9,+7%回2%清,600323,20250729
-0.05817830687830685,1,-5%止损,600329,20241010
0.017487674950014326,5,+5%回1%半,600329,20250723
0.041766452442159374,10,+7%回2%清,600329,20250730
-0.05456016785022602,1,-5%止损,600332,20241010
0.011936805555555596,2,+5%回1%半,600345,20241114
0.05750972222222222,5,+7%回2%清,600345,20241119
-0.005993264248704635,3,+5%回1%半,600345,20250901
-0.03481450777202071,4,-5%止损,600345,20250902
-0.0680495854063018,4,-5%止损,600362,20241015
-0.031716666666666685,5,时间5天,600362,20250707
-0.10718235294117641,1,-5%止损,600363,20241009
-0.07238183079056867,2,-5%止损,600363,20241011
-0.06356716338477904,5,-5%止损,600367,20250916
-0.1046390903857226,1,-5%止损,600378,20241009
-0.10098684759916493,2,-5%止损,600391,20241011
-0.05360769230769229,1,-5%止损,600391,20250801
0.015248251192368898,1,+5%回1%半,600391,20251223
0.027171939586645526,2,+7%回2%清,600391,20251224
0.009178009828009837,1,+5%回1%半,600391,20251224
0.06538194103194099,3,+7%回2%清,600391,20251226
-0.06591025427261347,1,-5%止损,600406,20250724
-0.039936363636363624,5,时间5天,600406,20260127
-0.0033637042062415424,3,+5%回1%半,600410,20260116
-0.04090327905924923,4,-5%止损,600410,20260119
0.01139516938519449,1,+5%回1%半,600418,20250523
0.006501819322459225,3,回落3%,600418,20250527
0.01762956989247315,1,+5%回1%半,600426,20250723
0.01655430107526883,3,+7%回2%清,600426,20250725
0.009198751319029173,3,+5%回1%半,600426,20251114
-0.015247256419275382,5,回落3%,600426,20251118
0.08447799674928894,2,+5%回1%半,600438,20241028
0.09483963835839089,3,+7%回2%清,600438,20241029
0.06627913385826777,1,+5%回1%半,600438,20241028
0.07631850393700788,2,+7%回2%清,600438,20241029
0.024765198792148915,1,+5%回1%半,600444,20251106
0.00010490689481624518,3,回落3%,600444,20251110
-0.07657173913043468,2,-5%止损,600456,20250319
-0.0599336740182894,1,-5%止损,600459,20251118
-0.1604382904794997,1,-5%止损,600460,20241011
-0.015968133480014617,4,回落3%,600460,20250814
-0.07967837837837825,2,-5%止损,600460,20260202
0.0019857406431207547,1,+5%回1%半,600476,20241213
-0.04730260938323668,3,-5%止损,600476,20241217
-0.059047051647010906,5,-5%止损,600482,20250814
0.023798290783210708,4,+5%回1%半,600482,20260113
0.03851053656425795,5,+7%回2%清,600482,20260114
-0.06135665722379597,4,-5%止损,600487,20241015
0.03644016393442628,1,+5%回1%半,600487,20251223
0.021890983606557408,3,+7%回2%清,600487,20251225
-0.07124535519125688,1,-5%止损,600498,20241010
-0.13989516616314204,1,-5%止损,600506,20251030
-0.0865788586251621,1,-5%止损,600520,20260119
0.025844808449695673,1,+5%回1%半,600520,20260120
0.0122393662728249,3,+7%回2%清,600520,20260122
-0.013891119946984724,5,时间5天,600520,20260429
-0.06477607052896732,2,-5%止损,600521,20241011
-0.03911204111600579,2,回落3%,600547,20250321
