pnl,days,reason,code,ed
0.020119869842148988,1,+5%回1%半,600036,20240930
0.053213195790639725,2,+7%回2%清,600036,20241008
-0.08036976744186043,2,-5%止损,600038,20241011
-0.050784536082474095,5,时间5天,600038,20250522
-0.015428728414442677,2,回落3%,600038,20260113
-0.014668983957219321,5,回落3%,600053,20250515
0.004273413566739598,2,+5%回1%半,600055,20250220
-0.002838183807439875,4,回落3%,600055,20250224
0.0078991341991341,5,时间5天,600055,20250916
-0.06222789267747344,2,-5%止损,600055,20260116
0.021372838499184376,1,+5%回1%半,600060,20250402
0.0017969820554649468,2,回落3%,600060,20250403
-0.055417647058823495,3,-5%止损,600060,20250930
-0.028067878545745172,5,时间5天,600060,20251013
-0.10015057471264374,1,-5%止损,600062,20241009
-0.018777562588568775,1,回落3%,600062,20250801
-0.003716756176154764,1,回落3%,600066,20260403
0.032054402515723245,5,+5%回1%半,600071,20250922
0.007735744234800808,6,回落3%,600071,20250923
-0.03772825410928478,5,时间5天,600071,20260120
-0.07390726072607258,5,-5%止损,600072,20241231
0.013412500000000058,3,+5%回1%半,600079,20250909
0.0015821428571428891,4,回落3%,600079,20250910
-0.007835947712418394,1,回落3%,600081,20250526
-0.08477010550996472,1,-5%止损,600085,20241010
-0.10953529411764705,2,-5%止损,600088,20241011
-0.0034551724137930574,1,回落3%,600088,20260114
-0.08119821882951656,1,-5%止损,600088,20260212
0.0024406483790525113,2,回落3%,600089,20250922
0.02854847328244277,1,+5%回1%半,600089,20260116
0.08675458015267179,3,+7%回2%清,600089,20260120
-0.11138064516129033,1,-5%止损,600096,20241009
-0.015409347442680788,2,回落3%,600096,20241011
-0.03423918918918924,5,时间5天,600096,20250402
0.01014258275439318,2,回落3%,600096,20250724
0.011385398230088491,2,+5%回1%半,600096,20251014
-0.00595973451327435,4,回落3%,600096,20251016
0.010525115207373259,1,+5%回1%半,600096,20260227
0.006147235023041514,2,回落3%,600096,20260302
0.009964367816092001,1,回落3%,600096,20260302
0.027127777777777744,1,+5%回1%半,600104,20241114
0.04448888888888888,2,+7%回2%清,600104,20241115
0.007590141259564484,1,+5%回1%半,600104,20241115
0.0393735432607417,2,+7%回2%清,600104,20241118
-0.0592625292740046,2,-5%止损,600105,20251201
0.06453443658413345,1,+5%回1%半,600111,20241008
0.01097203132895404,2,+7%回2%清,600111,20241009
-0.014694725826705748,5,时间5天,600111,20250319
-0.047747002778880575,5,时间5天,600111,20250417
-0.05524839718530098,5,-5%止损,600111,20250619
0.021727622377622335,1,+5%回1%半,600111,20250714
0.006343006993006968,2,+7%回2%清,600111,20250715
-0.06551426266537588,1,-5%止损,600111,20250715
-0.11870740740740747,1,-5%止损,600111,20260202
0.09839458598726114,1,+5%回1%半,600113,20250619
0.3050824840764332,5,+7%回2%清,600113,20250625
0.1944049450549451,4,+5%回1%半,600113,20250625
0.28616318681318687,6,+7%回2%清,600113,20250627
0.013238888888888868,1,+5%回1%半,600114,20240903
-0.01855123456790124,2,回落3%,600114,20240904
-0.03051129503407974,4,回落3%,600114,20250213
0.029672580645161293,1,+5%回1%半,600114,20250729
0.015263978494623623,3,+7%回2%清,600114,20250731
-0.07667313432835819,2,-5%止损,600118,20241011
-0.06651739130434783,1,-5%止损,600118,20241023
0.00715161604903876,1,+5%回1%半,600118,20250827
0.04128368626358314,2,+7%回2%清,600118,20250828
0.03139807210816228,1,+5%回1%半,600118,20251029
0.057061567351026535,2,+7%回2%清,600118,20251030
0.00223669319186553,1,回落3%,600129,20250725
-0.03965764451647762,5,时间5天,600131,20251017
0.007988360175695512,1,+5%回1%半,600132,20241008
-0.04164560761346994,2,-5%止损,600132,20241009
0.022563747362074147,3,+5%回1%半,600141,20251113
0.02557851974675904,4,+7%回2%清,600141,20251114
-0.07223505297098107,1,-5%止损,600143,20260113
-0.009901177003168914,2,回落3%,600148,20250523
0.0156885002094679,1,+5%回1%半,600148,20250710
0.00039733975701719115,2,+7%回2%清,600148,20250711
-0.023014217252396118,1,+5%回1%半,600148,20250711
-0.0108337060702875,2,回落3%,600148,20250714
-0.023731259044862552,5,时间5天,600160,20250514
